category,period,subject_name,schedule,teacher_name,detail_url,overview
造形文化科目/文化総合科目,通年,レポート入門 Ⅰ,なし,足立圭准教授、乗木大朗講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_157.html,通信教育課程での学修に必要なレポートの作成に関する基礎的な知識と能力を養う。大学におけるレポートの特性と要件、疑問からテーマへの展開、資料の探索と読解、論述のための表現と表記の形式、引用や典拠などレポートのルールとマナーなどについて学ぶ。特にルールやマナーの理解に重点を置く。
造形文化科目/文化総合科目,通年,レポート入門 Ⅱ,なし,足立圭准教授、乗木大朗講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_158.html,通信教育課程での学修に必要なレポートの作成に関する基礎的な知識と能力を養う。大学におけるレポートの特性と要件、疑問からテーマへの展開、資料の探索と読解、論述のための表現と表記の形式、引用や典拠などレポートのルールとマナーなどについて学ぶ。特に表現上のチェックポイントや文章の練り上げ方に重点を置く。
造形文化科目/文化総合科目,通年,コンピュータリテラシー Ⅰ,なし,清水恒平教授、須田拓也講師、稲見理講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_1.html,コンピュータの使用が日常化し、通信教育の学習を進める上でもコンピュータやインターネットの利用が不可欠になりつつある。しかし、ただソフトウェアを使用しているだけでは、なかなかコンピュータの基本と知識についての正しい理解が難しいという側面もあるだろう。この科目は、通信教育課程でコンピュータを利用していくことを念頭に置いた、コンピュータやインターネットの必要最低限の知識を学習する、導入的授業と位置づけられる。面接授業ではコンピュータやインターネットの基本的な知識の講義と併せ、コンピュータでの作業の総合的トレーニングとして Web ページの制作を行う。その作業を通じ、コンピュータの基本的な知識の理解や一連の作業を体験することを目的とする。
造形文化科目/文化総合科目,通年,コンピュータリテラシー Ⅱ,なし,清水恒平教授、松本亜実講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_2.html,この科目では課題作成や連絡に利用しているコンピューターやスマートフォンの利用を見直し、アプリケーション、サービスなどについて理解を深めることを目標とする。Web利用時に利用しているアプリケーションやサービスの利用方法、提供される情報などについて、どのように提供されているのかどのように利用するとよりよい学習につながるか、などを、自分自身で調査し、図解により知識の定着をすることを目標とする。
造形文化科目/文化総合科目,通年,コンピュータリテラシー Ⅲ（学１課程のみ）,なし,清水恒平教授、小笠原幸介講師、古田裕講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_161.html,「グラフィック系ソフトウェア入門」コンピュータを利用する上で、ソフトウェアの操作の理解と同様に重要なのが、扱うデータの理解といえる。特に美術・デザイン系の大学においては、グラフィック系ソフトウェアの理解と、各種画像データやグラフィックデータの正しい理解は必須である。この科目は、グラフィック系ソフトウェアを利用するための導入的授業という位置づけであり、代表的なソフトウェアの基本的な利用方法、および画像・グラフィックデータの扱い方などの理解を目的とする。
造形文化科目/文化総合科目,通年,カメラリテラシー,なし,上原幸子教授、谷口泉講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_162.html,写真はデザイン系の学生に限らず、画像に記録することや資料として提示するなど、さまざまな局面で求められることがある。そのためカメラや写真の基礎的な知識は、多くの学生によって必要不可欠な要素である。その知識は、カメラが銀塩からデジタルに進化した現在でも、基本となるレンズの絞りとシャッター速度との関係、すなわち露出という問題が写真の基礎であり、デジタル写真になった現在でも不変と言える。この科目では、表現としての写真技法ではなく、カメラの基礎的な知識や構造、レンズの特性などの講義を中心に、初歩的なカメラの使い方からその仕組み、レンズの効果など、写真表現の基礎となる技術的な知識の習得を主な目的としている。そして写真のほとんどがデジタルになっている現在では、当然その技術的な問題にも触れることになる。科目の内容を理解し、その知識を写真表現に活かすことや記録という意味でデジタルアーカイブの質をより一層高めることを主な目的としている。
造形文化科目/文化総合科目,通年,美術入門,なし,関口雅文教授、室井佳世教授、吉川民仁教授,https://ccap02.musabi.ac.jp/syllabus/html/2025_159.html,本科目は、主に新入生を対象として、美術領域の広さや表現する楽しさを知ることを目的とする。進行としては、創作に向かう基本的な姿勢や考え方、絵を描く上で考えることになる様々な造形表現などを含めながら、油絵学科の担当教員が順次に講義を行う。
造形文化科目/文化総合科目,通年,デザイン入門,なし,上原幸子教授、清水恒平教授、荻原剛教授、福井政弘教授、足立圭准教授,https://ccap02.musabi.ac.jp/syllabus/html/2025_160.html,本科目は、主に新入生を対象として、デザインの幅広い概念と領域、デザインの基本的な考え方や方法を理解し、また、現代デザインの動向などを学ぶことによって、視野を広げ、知識の吸収や創作意欲の向上につなげていくことを目的とする。日常生活の中で見過ごされがちなモノ・ヒト・コトを観察してデザインに結びつく問題を発見することや、誰もが持っている造形的な感覚と能力を自ら活性化させていくことの重要性を理解し、現代社会におけるデザインの役割や、新しい技術やメディアと結びついたデザインの可能性などについて考える。授業は、デザイン系の専任教員他がオムニバス形式（交代リレー式）で行う。この科目は実務経験を有する教員（上原幸子教授、清水恒平教授、荻原剛教授、福井政弘教授）による授業科目である。デザイナーとして豊富な実績を有する各担当教員がデザインの実務経験を基にデザインの分野を紐解く。
造形文化科目/文化総合科目,通年,文学,なし,大石紗都子准教授,https://ccap02.musabi.ac.jp/syllabus/html/2025_3.html,ここでは文学が言語芸術であることを認識することがまず要請される。一般的には、文学は隣接するジャンルである歴史や哲学や思想などと同じような内容と性質を持つものであるように思われがちだが、文学がそれら以上に言語による芸術表現であることを認識しながら、文学の大まかな輪郭や相貌を提供することが本科目の概要である。そこから文学という概念を知的に把握して、受講生みずからが主体的に文学作品に接して自分なりの深い文学体験を明瞭に自覚しつつ、その結果を客観的に報告できるようにすることを目標とする。
造形文化科目/文化総合科目,通年,歴史学,なし,廖赤陽教授、金田真滋講師,https://ccap02.musabi.ac.jp/syllabus/html/2025_4.html,私たちが社会生活を送る上で、過去の歴史を学び、理解することは大切なことです。この科目では、特に現代の日本で生活する皆さんに是非とも知っていて欲しい、アジアの歴史を学習します。教科書や学習指導書、参考文献などを読んで基礎的な知識を身につけた上で、出題するレポートを自分の手でまとめることで、私たちの社会がどのような歴史を歩んできて、どのようにして現代の社会が作られてきたのかを学習しましょう。それにより現在の身の回りのできごとや状況への理解も深まるはずです。
